time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_042817	23	15	24.78	22.54	21.30
20181209_042827	23	15	23.98	22.52	20.61
20181209_042838	23	15	24.95	22.54	24.58
20181209_042848	23	16	25.11	22.55	25.99
20181209_042858	23	16	24.86	22.51	22.17
20181209_042909	23	15	24.70	22.51	23.35
20181209_042919	23	15	24.70	22.50	20.49
20181209_042929	23	15	24.70	22.48	21.13
20181209_042940	23	15	24.70	22.48	19.94
20181209_042950	23	15	24.70	22.48	23.68
20181209_043000	23	16	24.46	22.50	24.40
20181209_043011	23	15	24.86	22.50	25.14
20181209_043021	23	15	24.22	22.50	23.56
20181209_043031	23	15	24.70	22.50	23.08
20181209_043041	22	15	24.54	22.51	21.59
20181209_043052	23	15	24.46	22.46	23.88
20181209_043102	22	15	23.41	22.48	24.36
20181209_043112	22	15	24.70	22.46	24.55
20181209_043123	23	15	24.70	22.48	22.44
20181209_043133	22	15	24.86	22.44	23.01
20181209_043143	22	15	24.70	22.45	21.52
20181209_043154	22	15	24.70	22.42	22.49
20181209_043204	22	15	24.30	22.41	21.99
20181209_043214	22	15	24.30	22.44	21.95
20181209_043225	22	15	24.70	22.42	22.21
20181209_043235	22	15	24.78	22.41	21.85
20181209_043245	22	15	23.90	22.41	21.32
20181209_043256	22	15	24.70	22.39	22.78
20181209_043306	22	16	23.90	22.44	23.29
20181209_043316	22	16	24.70	22.39	21.63
20181209_043327	22	15	24.46	22.39	20.99
20181209_043337	22	16	23.25	22.39	21.42
20181209_043347	22	16	24.54	22.39	21.88
20181209_043358	22	16	24.30	22.39	20.72
20181209_043408	22	16	24.78	22.38	22.45
20181209_043418	22	16	24.46	22.36	22.68
20181209_043439	22	15	23.90	22.38	22.32
20181209_043449	22	15	24.62	22.38	21.52
20181209_043500	22	15	24.14	22.38	22.68
20181209_043510	22	16	24.30	22.36	21.90
20181209_043520	22	15	24.22	22.34	21.40
20181209_043531	22	15	23.90	22.35	23.09
20181209_043541	22	15	24.46	22.34	21.24
20181209_043551	22	15	24.54	22.32	21.74
20181209_043601	22	15	24.30	22.31	21.50
20181209_043612	22	15	24.46	22.34	22.38
20181209_043622	22	15	24.46	22.32	20.99
20181209_043632	22	15	24.30	22.34	22.38
20181209_043643	22	16	23.74	22.29	21.74
20181209_043653	22	16	24.14	22.29	21.66
20181209_043703	22	16	24.30	22.31	21.53
20181209_043714	22	16	23.82	22.29	21.69
