time_AKDT	DHT11_T	DHT11_T	P36_T	SHT31_T	SHT31_H
20181209_054940	21	14	23.17	20.94	21.36
20181209_054950	21	14	22.61	20.97	20.49
20181209_055000	21	15	22.93	20.97	20.57
20181209_055011	21	15	22.21	20.96	20.38
20181209_055021	21	15	22.29	21.00	20.95
20181209_055031	21	15	22.77	21.03	21.30
20181209_055041	21	15	23.01	21.06	20.21
20181209_055052	21	15	23.09	21.10	20.05
20181209_055112	21	15	21.96	21.13	19.85
20181209_055123	21	15	22.53	21.17	20.48
20181209_055133	21	14	22.85	21.18	20.29
20181209_055143	21	14	22.85	21.24	20.76
20181209_055154	21	14	22.61	21.22	19.86
20181209_055204	21	14	22.53	21.28	19.70
20181209_055214	21	14	24.86	21.28	19.70
20181209_055235	21	14	23.17	21.37	19.64
20181209_055245	21	14	21.72	21.37	19.67
20181209_055256	21	14	22.85	21.40	19.75
20181209_055306	21	14	23.17	21.42	19.64
20181209_055316	21	14	23.01	21.45	19.72
20181209_055327	21	13	22.69	21.46	19.69
20181209_055337	21	13	22.29	21.45	19.71
20181209_055347	21	13	23.25	21.46	19.56
20181209_055358	21	13	22.93	21.48	19.86
20181209_055408	22	15	24.46	21.48	20.79
20181209_055418	21	14	23.58	21.49	20.05
20181209_055429	22	15	23.98	21.45	21.16
20181209_055439	22	15	23.25	21.46	20.51
20181209_055449	22	15	24.22	21.48	20.71
20181209_055500	22	15	22.29	21.49	20.43
20181209_055510	22	15	23.49	21.49	20.72
20181209_055520	22	15	22.93	21.51	21.12
20181209_055531	22	15	24.95	21.49	20.48
20181209_055541	22	15	22.12	21.49	20.85
20181209_055551	22	15	22.93	21.49	20.64
20181209_055602	22	15	23.17	21.48	20.56
20181209_055612	22	15	23.25	21.49	21.20
20181209_055622	22	15	21.88	21.45	20.80
20181209_055632	21	14	23.25	21.48	21.06
20181209_055643	22	15	24.38	21.48	20.51
20181209_055653	21	14	23.41	21.46	20.74
20181209_055703	21	14	23.09	21.46	21.05
20181209_055714	22	15	23.17	21.46	20.30
20181209_055724	21	14	23.25	21.48	21.15
20181209_055734	21	14	22.85	21.48	20.81
20181209_055745	21	14	23.01	21.46	20.69
20181209_055755	21	14	22.61	21.44	20.61
20181209_055805	21	14	23.01	21.45	20.48
20181209_055816	21	14	22.53	21.45	20.90
20181209_055826	21	15	22.69	21.42	20.47
20181209_055847	21	15	23.33	21.44	20.75
20181209_055857	21	14	23.17	21.46	20.89
20181209_055907	21	15	23.17	21.45	21.16
20181209_055918	21	15	23.01	21.46	20.87
20181209_055928	21	15	23.41	21.46	21.02
20181209_055938	21	15	23.17	21.46	20.89
20181209_055949	21	15	23.17	21.46	20.49
20181209_055959	21	15	23.17	21.45	20.28
20181209_060009	21	15	22.61	21.44	21.00
20181209_060020	21	15	22.93	21.46	21.03
20181209_060030	21	15	23.17	21.46	21.18
20181209_060040	21	14	22.37	21.45	20.56
20181209_060051	21	15	23.17	21.46	21.06
20181209_060101	21	15	22.61	21.46	20.54
20181209_060111	21	15	22.69	21.46	20.75
20181209_060122	21	14	23.33	21.48	21.00
20181209_060132	21	15	22.53	21.45	20.82
20181209_060142	21	15	22.61	21.46	21.16
20181209_060152	21	15	23.25	21.48	21.31
20181209_060203	21	15	22.85	21.45	20.75
20181209_060213	21	15	23.25	21.48	21.39
20181209_060223	21	15	23.17	21.46	20.62
20181209_060234	21	15	22.69	21.46	20.67
20181209_060244	21	15	22.37	21.44	20.70
20181209_060254	21	15	23.17	21.46	20.64
20181209_060305	21	14	23.09	21.45	20.67
20181209_060315	21	15	23.41	21.46	21.08
20181209_060325	21	15	23.25	21.45	20.56
20181209_060336	21	15	22.53	21.48	20.64
20181209_060346	21	15	22.53	21.51	20.53
20181209_060356	21	15	23.41	21.53	21.33
20181209_060407	21	15	23.17	21.55	20.29
20181209_060417	22	15	22.12	21.55	20.32
20181209_060427	21	14	23.25	21.58	20.32
20181209_060438	21	14	23.17	21.59	19.80
20181209_060448	21	14	23.41	21.59	19.85
20181209_060458	22	15	23.58	21.61	19.73
20181209_060509	22	15	22.61	21.62	19.78
20181209_060519	22	15	23.49	21.65	19.67
20181209_060529	22	14	22.85	21.66	19.74
20181209_060540	22	14	23.01	21.66	19.87
20181209_060550	22	14	22.93	21.66	19.56
20181209_060600	22	14	25.03	21.68	20.23
20181209_060611	22	14	23.49	21.70	19.69
20181209_060631	22	14	22.61	21.72	20.10
20181209_060642	22	14	23.25	21.73	20.30
20181209_060652	22	14	22.37	21.72	20.74
20181209_060702	22	14	22.85	21.72	19.95
20181209_060712	22	14	23.01	21.66	19.82
20181209_060723	22	14	23.25	21.68	20.60
20181209_060733	22	14	22.69	21.68	20.49
20181209_060743	22	14	23.58	21.61	20.72
20181209_060754	22	14	22.69	21.62	20.98
20181209_060804	22	14	22.45	21.58	20.73
20181209_060814	22	14	23.25	21.58	20.96
20181209_060825	22	14	22.77	21.58	20.83
20181209_060835	22	14	24.30	21.58	21.17
20181209_060845	22	14	22.93	21.56	20.43
20181209_060856	22	14	23.33	21.52	20.63
20181209_060906	22	15	22.69	21.48	20.46
20181209_060916	22	14	22.85	21.48	21.06
20181209_060927	22	14	23.01	21.45	21.26
20181209_060937	22	14	23.25	21.46	21.06
20181209_060947	21	13	22.77	21.38	20.67
20181209_060958	21	13	23.17	21.40	20.83
20181209_061008	21	13	23.33	21.37	21.13
20181209_061018	21	13	22.93	21.33	20.35
20181209_061029	21	13	22.69	21.31	20.47
20181209_061039	21	14	22.85	21.30	20.97
20181209_061049	21	14	23.09	21.25	20.69
20181209_061100	21	14	22.53	21.24	20.90
20181209_061110	21	14	23.09	21.25	21.31
20181209_061120	21	14	22.85	21.21	21.05
20181209_061131	21	14	23.17	21.17	20.57
20181209_061141	21	14	22.85	21.17	20.88
20181209_061151	21	14	23.58	21.14	21.16
20181209_061202	21	14	24.70	21.10	20.44
20181209_061212	21	14	23.01	21.10	21.14
20181209_061222	21	14	23.01	21.08	21.38
20181209_061232	21	14	22.61	21.07	21.14
20181209_061243	21	14	22.85	21.03	21.03
20181209_061253	21	14	22.61	21.01	21.38
20181209_061303	21	14	22.29	20.99	21.07
20181209_061314	21	14	22.45	20.99	20.97
20181209_061324	21	14	24.46	20.97	20.61
20181209_061334	21	14	22.53	20.94	20.70
20181209_061345	21	14	22.85	20.91	21.13
20181209_061355	21	14	22.93	20.89	21
20181209_061405	21	14	22.85	20.91	20.62
20181209_061416	21	15	22.61	20.87	21.21
20181209_061426	21	14	22.45	20.87	21.33
20181209_061436	21	14	23.01	20.87	21.08
20181209_061447	21	15	22.29	20.84	21.30
20181209_061457	20	14	22.37	20.83	21.40
20181209_061507	20	14	22.53	20.82	21.09
20181209_061518	21	15	22.69	20.84	20.76
20181209_061528	20	14	22.04	20.83	20.29
20181209_061538	20	14	22.29	20.84	20.06
20181209_061549	20	14	22.61	20.86	20.00
20181209_061559	21	15	22.12	20.89	20.03
20181209_061609	21	15	22.77	20.91	20.51
20181209_061620	21	15	22.53	20.97	19.99
20181209_061630	21	15	21.80	20.96	20.36
20181209_061640	21	15	22.61	21.00	20.00
20181209_061651	21	15	22.85	21.03	21.41
20181209_061701	21	15	22.85	21.07	20.43
20181209_061711	21	15	21.72	21.08	19.95
20181209_061722	21	14	22.53	21.11	19.95
20181209_061732	21	14	22.85	21.13	20.09
20181209_061742	21	14	21.96	21.18	19.99
20181209_061752	21	14	22.12	21.18	19.90
20181209_061803	21	14	23.90	21.19	19.84
20181209_061813	21	14	21.88	21.22	19.86
20181209_061823	21	14	21.96	21.25	19.79
20181209_061834	21	14	23.01	21.28	19.88
20181209_061844	21	14	22.93	21.30	19.83
20181209_061854	21	14	22.85	21.31	19.67
20181209_061905	21	14	22.93	21.30	19.47
20181209_061915	21	14	22.29	21.33	19.56
20181209_061925	21	13	22.53	21.33	20.61
20181209_061936	21	14	23.17	21.34	20.63
20181209_061946	21	14	23.01	21.31	20.34
20181209_061956	21	14	22.93	21.31	20.32
20181209_062007	21	14	22.93	21.31	20.81
20181209_062017	21	14	23.25	21.31	20.17
20181209_062027	21	14	22.85	21.33	20.68
20181209_062038	21	14	23.17	21.31	21.01
20181209_062048	21	14	22.93	21.33	21.17
20181209_062058	21	14	21.96	21.34	21.12
20181209_062109	21	14	23.09	21.33	20.96
20181209_062119	21	14	22.29	21.31	20.76
20181209_062129	21	14	23.33	21.33	20.84
20181209_062150	21	14	22.85	21.31	20.99
20181209_062200	21	14	22.21	21.31	20.73
20181209_062211	21	14	23.25	21.31	21.04
20181209_062221	21	15	23.01	21.33	21.20
20181209_062231	21	15	21.72	21.31	20.83
20181209_062242	21	15	23.17	21.33	20.78
20181209_062252	21	15	22.93	21.33	20.63
20181209_062302	21	15	23.01	21.31	20.70
20181209_062313	21	15	22.93	21.33	21.36
20181209_062323	21	15	22.85	21.31	21.02
20181209_062333	21	15	22.21	21.31	20.63
20181209_062343	21	15	22.53	21.31	20.81
20181209_062354	21	15	23.25	21.35	21.01
20181209_062404	21	15	22.85	21.33	20.73
20181209_062414	21	15	23.17	21.33	20.71
20181209_062425	21	15	23.17	21.31	20.88
20181209_062435	21	15	23.09	21.33	20.76
20181209_062445	21	15	22.37	21.34	20.81
20181209_062456	21	15	22.61	21.31	20.86
20181209_062506	21	15	23.25	21.33	20.92
20181209_062516	21	15	22.37	21.33	20.76
20181209_062527	21	15	23.17	21.34	20.78
20181209_062537	21	15	22.93	21.34	20.83
20181209_062547	21	15	23.58	21.33	20.88
20181209_062558	21	15	22.77	21.34	20.88
20181209_062608	21	15	22.85	21.33	20.58
20181209_062618	21	15	22.29	21.34	20.98
20181209_062629	21	15	22.69	21.34	20.99
20181209_062639	21	15	23.25	21.31	20.99
20181209_062649	21	15	22.93	21.34	20.84
20181209_062700	21	15	23.01	21.33	21.12
20181209_062710	21	15	22.29	21.33	20.80
20181209_062720	21	15	23.17	21.31	20.78
20181209_062731	21	15	23.17	21.31	20.68
20181209_062741	21	15	22.21	21.33	20.84
20181209_062751	21	15	23.17	21.33	21.46
20181209_062802	21	15	22.61	21.33	21.24
20181209_062812	21	15	23.09	21.31	20.88
20181209_062822	21	15	22.85	21.34	21.12
20181209_062833	21	15	23.17	21.33	20.57
20181209_062843	21	15	22.61	21.33	20.73
20181209_062853	21	15	22.53	21.35	21.27
20181209_062903	21	15	22.29	21.35	20.73
20181209_062914	21	15	23.49	21.35	21.0
20181209_062924	21	15	23.17	21.33	20.78
20181209_062934	21	15	22.61	21.37	21.19
20181209_062945	21	15	22.61	21.34	21.01
20181209_062955	21	15	23.17	21.37	20.94
20181209_063005	21	15	22.77	21.35	20.91
20181209_063016	21	15	23.17	21.35	20.93
20181209_063026	21	15	23.41	21.34	20.93
20181209_063036	21	15	22.77	21.34	21.35
20181209_063047	21	15	22.37	21.37	21.11
20181209_063057	21	15	23.17	21.38	20.83
20181209_063107	21	15	23.17	21.35	20.76
20181209_063118	21	15	22.53	21.38	20.67
20181209_063128	21	15	23.33	21.38	21.27
20181209_063138	21	15	22.61	21.35	20.70
20181209_063149	21	15	22.85	21.38	21.13
20181209_063159	21	15	22.61	21.38	20.99
20181209_063209	21	15	22.85	21.37	21.14
20181209_063220	21	15	22.04	21.35	20.78
20181209_063230	21	15	22.61	21.38	21.17
20181209_063240	21	15	23.01	21.34	20.68
20181209_063251	21	15	22.61	21.35	21.24
20181209_063301	21	15	22.93	21.34	20.86
20181209_063311	21	15	22.45	21.35	20.83
20181209_063322	21	15	23.17	21.38	21.09
20181209_063332	21	15	23.17	21.33	20.73
20181209_063342	21	15	23.17	21.34	20.81
20181209_063353	21	15	22.85	21.38	21.24
20181209_063403	21	15	23.09	21.38	20.93
20181209_063413	21	15	22.93	21.42	20.70
20181209_063423	21	15	23.09	21.42	21.22
20181209_063434	21	15	23.17	21.45	20.59
20181209_063444	21	14	22.53	21.46	20.15
20181209_063454	21	14	23.01	21.49	20.66
20181209_063505	21	14	22.85	21.49	19.97
20181209_063515	21	14	22.61	21.49	19.92
20181209_063525	22	15	23.98	21.52	20.05
20181209_063536	22	15	22.77	21.56	19.98
20181209_063546	22	15	24.14	21.53	20.09
20181209_063556	22	15	22.93	21.55	19.81
20181209_063607	22	15	22.93	21.58	19.54
20181209_063617	22	14	23.09	21.59	19.81
20181209_063627	22	14	22.93	21.59	19.95
20181209_063638	22	14	23.66	21.59	20.73
20181209_063648	22	14	22.53	21.59	20.22
20181209_063709	22	14	24.62	21.61	20.94
20181209_063719	22	14	23.17	21.63	20.81
20181209_063729	22	14	22.53	21.59	19.96
20181209_063740	22	14	23.01	21.59	20.65
20181209_063750	22	14	23.33	21.58	20.60
20181209_063800	22	15	23.01	21.56	20.75
20181209_063811	22	15	23.41	21.55	20.70
20181209_063821	22	15	23.17	21.55	21.17
20181209_063831	22	15	23.25	21.53	21.28
20181209_063842	22	15	23.09	21.51	21.23
20181209_063852	22	15	23.17	21.49	21.13
20181209_063902	22	15	23.17	21.46	21.37
20181209_063913	22	15	23.17	21.45	20.52
20181209_063923	22	15	24.62	21.45	21.03
20181209_063933	22	15	23.41	21.41	21.08
20181209_063943	22	15	24.86	21.38	21.11
20181209_063954	22	14	23.17	21.37	21.01
20181209_064004	21	14	22.85	21.34	20.91
20181209_064014	21	13	22.04	21.33	20.40
20181209_064025	21	14	22.21	21.27	20.30
20181209_064035	21	13	23.17	21.24	20.77
20181209_064045	21	14	22.85	21.27	20.94
20181209_064056	21	14	22.85	21.25	20.51
20181209_064106	21	14	22.69	21.22	20.43
20181209_064116	21	14	21.96	21.21	20.76
20181209_064127	21	14	23.58	21.18	20.52
20181209_064137	21	14	22.85	21.22	20.69
20181209_064147	21	14	22.53	21.25	20.69
20181209_064158	21	14	22.37	21.25	20.94
20181209_064208	21	14	22.61	21.21	20.95
20181209_064218	21	14	23.98	21.22	20.85
20181209_064229	21	14	23.09	21.18	21.24
20181209_064239	21	14	22.93	21.17	20.23
20181209_064249	21	14	22.53	21.11	20.55
20181209_064300	21	14	22.85	21.10	20.63
20181209_064310	21	14	22.61	21.06	20.14
20181209_064320	21	14	22.04	21.01	20.09
20181209_064331	21	14	22.69	21.01	21.17
20181209_064341	21	14	22.85	20.99	20.89
20181209_064351	21	14	22.85	21.03	21.17
20181209_064402	21	14	22.37	20.96	20.67
20181209_064412	21	15	22.21	20.94	20.51
20181209_064422	21	15	22.69	20.89	20.65
20181209_064433	21	15	21.08	20.87	20.3
20181209_064443	21	15	22.53	20.86	20.70
20181209_064453	21	15	22.85	20.84	20.65
20181209_064504	21	15	22.37	20.83	20.54
20181209_064514	21	15	22.93	20.80	20.52
20181209_064524	21	15	21.64	20.82	21.48
20181209_064534	21	15	22.61	20.82	20.70
20181209_064545	21	15	22.45	20.84	20.71
20181209_064555	21	15	22.61	20.83	20.34
20181209_064605	21	15	22.69	20.83	20.29
20181209_064616	21	15	22.61	20.87	20.73
20181209_064626	21	15	21.88	20.90	20.23
20181209_064636	21	15	22.37	20.91	20.11
20181209_064647	21	15	22.85	20.93	20.51
20181209_064657	21	15	22.04	20.94	20.54
20181209_064707	21	15	22.53	21.00	20.14
20181209_064728	21	15	22.61	21.03	19.93
20181209_064738	21	15	22.53	21.08	20.01
20181209_064749	21	14	22.37	21.11	20.45
20181209_064759	21	14	22.61	21.11	20.05
20181209_064809	21	14	22.93	21.14	20.03
20181209_064820	21	14	22.93	21.18	19.97
20181209_064830	21	14	22.93	21.21	19.89
20181209_064840	21	14	23.98	21.21	19.94
20181209_064851	21	14	22.85	21.24	19.97
20181209_064901	21	14	22.29	21.27	20.01
20181209_064911	21	14	22.69	21.30	20.01
20181209_064922	21	14	22.93	21.33	19.93
20181209_064932	21	14	22.37	21.31	19.62
20181209_064942	21	14	23.25	21.34	19.70
20181209_064953	21	14	22.93	21.34	20.11
20181209_065003	21	14	23.01	21.35	20.19
20181209_065013	21	14	22.61	21.34	20.32
20181209_065024	21	14	22.29	21.33	20.37
20181209_065034	21	14	23.17	21.34	20.47
20181209_065044	21	14	21.40	21.34	20.68
20181209_065054	21	14	22.53	21.37	20.90
20181209_065105	22	15	22.37	21.34	21.04
20181209_065115	21	14	23.25	21.34	20.80
20181209_065125	21	14	23.01	21.34	20.91
20181209_065136	21	14	23.17	21.37	20.88
20181209_065146	21	14	23.25	21.35	21.06
20181209_065156	21	14	22.61	21.34	20.88
20181209_065207	21	14	22.85	21.37	21.17
20181209_065227	21	15	22.93	21.34	20.88
20181209_065238	21	15	22.93	21.34	20.93
20181209_065248	21	14	22.69	21.37	20.91
20181209_065258	21	15	23.17	21.38	20.75
20181209_065309	21	15	23.17	21.35	20.70
20181209_065319	21	15	23.25	21.35	20.55
20181209_065329	21	15	22.53	21.38	20.57
20181209_065340	21	15	22.21	21.35	20.89
20181209_065350	21	15	23.17	21.38	20.83
20181209_065400	21	15	22.45	21.37	20.58
20181209_065411	21	15	23.33	21.37	20.90
20181209_065421	21	14	22.85	21.35	20.72
20181209_065431	21	15	22.85	21.37	20.63
20181209_065442	21	15	22.85	21.34	20.60
20181209_065452	21	15	23.25	21.35	20.58
20181209_065502	21	15	23.01	21.37	20.62
20181209_065513	21	14	22.93	21.38	20.82
20181209_065523	21	15	23.41	21.40	20.87
20181209_065533	21	15	22.45	21.40	20.64
20181209_065544	21	14	23.17	21.37	20.63
20181209_065554	21	15	22.37	21.37	20.81
20181209_065604	21	15	22.93	21.35	20.45
20181209_065614	21	14	23.17	21.37	20.49
20181209_065625	21	15	22.04	21.37	20.70
20181209_065635	21	14	22.61	21.35	20.80
20181209_065645	21	14	23.33	21.41	20.59
20181209_065656	21	14	23.17	21.38	20.54
20181209_065706	21	14	22.69	21.38	20.87
20181209_065716	21	15	22.93	21.42	20.90
20181209_065727	21	14	23.17	21.41	20.74
20181209_065737	21	14	23.25	21.38	20.47
20181209_065747	21	14	23.01	21.40	20.42
20181209_065758	21	14	23.17	21.38	20.82
20181209_065808	21	14	23.17	21.38	20.39
20181209_065818	21	14	22.85	21.38	20.73
20181209_065829	21	14	23.25	21.40	20.62
20181209_065839	21	14	23.09	21.38	20.55
20181209_065849	21	14	23.09	21.41	20.52
20181209_065900	21	14	22.85	21.41	20.41
20181209_065910	21	14	23.01	21.40	20.64
20181209_065920	21	14	22.29	21.41	20.54
20181209_065931	21	14	22.93	21.40	20.33
20181209_065941	21	14	23.17	21.41	20.39
20181209_065951	21	14	23.25	21.42	20.57
20181209_070002	21	14	23.25	21.42	20.44
20181209_070012	21	14	22.85	21.41	20.74
20181209_070022	21	14	23.17	21.42	20.67
20181209_070033	21	14	23.25	21.42	20.52
20181209_070043	21	14	22.61	21.41	20.51
20181209_070053	21	14	23.17	21.41	20.62
20181209_070104	21	14	22.61	21.42	20.72
20181209_070114	21	14	23.58	21.44	20.69
20181209_070124	21	14	22.77	21.42	20.51
20181209_070134	21	14	22.93	21.44	20.62
20181209_070145	21	14	23.25	21.45	20.46
20181209_070155	21	14	22.85	21.44	20.39
20181209_070205	21	14	22.69	21.42	20.34
20181209_070216	21	14	23.25	21.42	20.41
20181209_070226	21	14	23.09	21.44	20.44
20181209_070236	21	15	23.25	21.45	20.44
20181209_070247	21	14	23.17	21.44	20.44
20181209_070257	21	15	22.61	21.42	20.38
20181209_070307	21	14	23.33	21.44	20.29
20181209_070318	21	15	22.12	21.49	20.27
20181209_070328	21	14	22.37	21.49	20.28
20181209_070338	21	14	23.25	21.52	19.99
20181209_070349	21	14	22.93	21.59	19.81
20181209_070359	22	15	22.85	21.56	19.65
20181209_070409	22	15	23.17	21.58	19.67
20181209_070420	22	14	23.82	21.56	19.68
20181209_070430	22	14	23.98	21.59	19.75
20181209_070440	22	14	23.25	21.61	19.57
20181209_070451	22	14	23.25	21.63	19.69
20181209_070501	22	14	23.41	21.63	19.70
20181209_070511	22	14	25.27	21.65	20.00
20181209_070522	22	14	23.25	21.68	19.67
20181209_070532	22	14	22.85	21.66	19.82
20181209_070542	22	14	22.93	21.69	19.66
20181209_070553	22	14	22.69	21.70	19.86
20181209_070603	22	14	23.58	21.70	20.08
20181209_070613	22	14	23.33	21.70	19.74
20181209_070624	22	14	22.93	21.70	19.53
20181209_070634	22	14	23.41	21.69	19.77
20181209_070644	22	14	23.58	21.69	19.87
20181209_070654	22	14	22.61	21.65	19.90
20181209_070705	22	14	23.25	21.65	20.11
20181209_070715	22	14	23.90	21.63	20.59
20181209_070725	22	14	23.58	21.62	20.59
20181209_070746	22	14	23.01	21.59	20.19
20181209_070756	22	14	22.85	21.56	20.14
20181209_070807	22	14	22.85	21.53	20.35
20181209_070817	22	14	23.09	21.53	19.93
20181209_070827	22	14	24.70	21.51	20.20
20181209_070838	22	14	23.25	21.44	20.26
20181209_070848	22	14	22.53	21.46	20.22
20181209_070858	22	14	23.41	21.42	20.25
20181209_070909	21	13	23.17	21.41	20.05
20181209_070919	22	14	22.61	21.40	20.08
20181209_070929	21	13	21.88	21.33	20.19
20181209_070940	21	13	22.29	21.35	20.26
20181209_070950	21	13	22.85	21.30	20.25
20181209_071000	21	13	22.93	21.30	20.02
20181209_071011	21	13	23.58	21.24	19.76
20181209_071021	21	13	23.01	21.24	20.15
20181209_071031	21	13	22.93	21.19	20.22
20181209_071042	21	13	24.78	21.17	20.11
20181209_071052	21	13	22.93	21.17	20.02
20181209_071102	21	13	23.01	21.14	20.36
20181209_071113	21	13	23.25	21.14	20.03
20181209_071123	21	14	22.53	21.11	20.21
20181209_071133	21	13	22.45	21.10	20.24
20181209_071144	21	14	22.93	21.07	20.16
20181209_071154	21	14	22.61	21.06	19.88
20181209_071204	21	14	23.41	21.06	20.35
20181209_071215	21	14	22.04	20.99	20.15
20181209_071225	21	14	21.88	21.00	20.23
20181209_071235	21	14	22.21	20.97	20.36
20181209_071245	21	14	22.77	20.96	20.22
20181209_071256	21	14	21.72	20.91	19.80
20181209_071306	21	14	22.77	20.94	20.44
20181209_071316	21	14	22.61	20.90	19.85
20181209_071327	21	14	22.53	20.89	20.21
20181209_071337	21	14	22.77	20.86	20.31
20181209_071347	21	14	21.96	20.86	20.27
20181209_071358	21	14	22.04	20.86	20.06
20181209_071408	21	14	22.53	20.86	20.24
20181209_071418	21	14	22.61	20.84	20.13
20181209_071429	20	13	22.53	20.82	20.38
20181209_071439	21	14	21.88	20.82	19.91
20181209_071449	21	14	22.61	20.83	19.85
20181209_071500	21	14	21.96	20.79	19.60
20181209_071510	21	15	22.53	20.83	20.16
20181209_071531	21	14	22.61	20.89	19.59
20181209_071541	21	14	22.61	20.90	19.82
20181209_071551	21	14	23.01	20.94	20.07
20181209_071602	21	14	22.69	20.96	19.99
20181209_071612	21	14	22.93	20.99	20.10
20181209_071622	21	14	22.77	21.01	19.73
20181209_071633	21	14	22.45	21.03	19.75
20181209_071643	21	14	22.37	21.06	19.72
20181209_071653	21	14	22.85	21.11	19.59
20181209_071704	21	14	22.29	21.13	19.62
20181209_071714	21	14	22.37	21.15	19.67
20181209_071724	21	14	22.85	21.18	19.66
20181209_071735	21	14	21.88	21.18	19.67
20181209_071745	21	14	22.53	21.22	19.66
20181209_071755	21	13	24.22	21.21	19.71
20181209_071805	21	13	22.29	21.27	19.73
20181209_071816	21	13	23.33	21.28	19.40
20181209_071826	21	13	22.61	21.30	19.60
20181209_071836	21	13	22.93	21.31	19.34
20181209_071847	21	13	24.54	21.33	19.19
20181209_071857	21	13	24.22	21.34	19.29
20181209_071907	21	13	22.53	21.31	19.57
20181209_071918	21	13	22.93	21.34	19.41
20181209_071928	21	13	22.53	21.31	19.62
20181209_071938	21	13	22.29	21.31	19.91
20181209_071949	21	13	22.93	21.31	20.17
20181209_071959	21	13	22.93	21.33	20.55
20181209_072009	21	14	22.61	21.33	20.37
20181209_072020	21	14	22.29	21.31	20.24
20181209_072030	21	14	23.01	21.31	20.26
20181209_072040	21	14	22.93	21.31	20.53
20181209_072051	21	14	22.61	21.33	20.58
20181209_072101	21	14	22.61	21.31	20.27
20181209_072111	21	14	21.96	21.30	20.73
20181209_072122	21	14	22.93	21.33	20.53
20181209_072132	21	14	22.85	21.33	20.26
20181209_072142	21	14	22.29	21.33	20.32
20181209_072153	21	14	23.49	21.33	20.34
20181209_072203	21	14	21.96	21.34	20.35
20181209_072213	21	14	22.29	21.31	20.19
20181209_072224	21	14	22.61	21.30	20.30
20181209_072234	21	14	22.93	21.31	20.39
20181209_072244	21	14	22.93	21.30	20.45
20181209_072305	21	14	22.53	21.30	20.29
20181209_072315	21	14	22.53	21.28	20.37
20181209_072325	21	14	22.85	21.30	20.22
20181209_072336	21	14	22.61	21.28	20.51
20181209_072346	21	14	23.58	21.28	20.45
20181209_072356	21	14	23.17	21.28	20.27
20181209_072407	21	14	21.96	21.30	20.48
20181209_072417	21	14	22.53	21.30	20.79
20181209_072427	21	14	22.21	21.33	20.49
20181209_072438	21	14	21.56	21.31	20.34
20181209_072448	21	14	23.09	21.30	20.34
20181209_072458	21	14	23.25	21.30	20.25
20181209_072509	21	14	22.29	21.30	20.16
20181209_072519	21	14	23.41	21.30	20.70
20181209_072529	21	14	23.25	21.31	20.34
20181209_072540	21	14	23.17	21.31	20.32
20181209_072550	21	14	22.61	21.28	20.32
20181209_072600	21	14	21.96	21.30	20.50
20181209_072611	21	14	22.93	21.30	20.29
20181209_072621	21	14	22.93	21.28	20.22
20181209_072631	21	14	23.09	21.30	20.55
20181209_072642	21	14	22.69	21.30	20.38
20181209_072652	21	14	22.37	21.31	20.29
20181209_072702	21	14	22.85	21.30	20.22
20181209_072713	21	14	23.01	21.28	20.30
20181209_072723	21	14	23.17	21.30	20.35
20181209_072733	21	14	22.85	21.28	20.47
20181209_072744	21	14	22.29	21.28	20.34
20181209_072754	21	14	22.69	21.27	20.41
20181209_072804	21	14	22.37	21.30	20.47
20181209_072815	21	14	21.88	21.28	20.63
20181209_072825	21	14	22.85	21.31	20.26
20181209_072835	21	14	23.01	21.28	20.25
20181209_072845	21	14	23.17	21.31	20.17
20181209_072856	21	14	23.01	21.30	20.47
20181209_072906	21	14	22.93	21.28	20.34
20181209_072916	21	14	22.53	21.30	20.27
20181209_072927	21	14	22.53	21.30	20.35
20181209_072937	21	14	22.93	21.30	20.35
20181209_072947	21	15	23.17	21.28	20.27
20181209_072958	21	14	23.01	21.31	20.50
20181209_073008	21	14	23.17	21.31	20.55
20181209_073018	21	14	22.21	21.30	20.34
20181209_073029	21	14	23.33	21.30	20.30
20181209_073039		14	23.33	21.30	20.37
20181209_073049	21	14	22.93	21.31	20.30
20181209_073100	21	14	23.17	21.31	20.30
20181209_073110	21	14	22.29	21.30	20.40
20181209_073120	21	14	22.61	21.31	20.14
20181209_073131	21	14	22.69	21.31	20.24
20181209_073141	21	14	22.93	21.31	20.29
20181209_073151	21	14	22.93	21.30	20.19
20181209_073202	21	14	22.93	21.31	20.34
20181209_073212	21	14	22.29	21.33	20.42
20181209_073222	21	14	22.77	21.31	20.60
20181209_073233	21	14	22.77	21.33	20.52
20181209_073243	21	14	22.85	21.31	20.22
20181209_073253	21	14	23.17	21.30	20.30
20181209_073304	21	14	23.01	21.28	20.25
20181209_073314	21	14	23.01	21.30	20.40
20181209_073324	21	14	22.61	21.28	20.29
20181209_073335	21	14	23.01	21.31	20.27
20181209_073345	21	14	21.96	21.33	20.16
20181209_073355	21	14	22.93	21.30	20.37
20181209_073405	21	14	22.69	21.30	20.35
20181209_073416	21	14	23.01	21.30	20.34
20181209_073426	21	14	22.45	21.31	20.32
20181209_073436	21	14	23.25	21.31	20.26
20181209_073447	21	14	22.77	21.30	20.37
20181209_073457	21	14	22.61	21.31	20.19
20181209_073507	21	14	22.85	21.31	20.65
20181209_073518	21	14	23.01	21.31	20.30
20181209_073528	21	14	22.93	21.33	20.42
20181209_073538	21	14	23.33	21.34	20.13
20181209_073549	21	14	23.17	21.35	20.21
